keys,fr
"Deal 1 Damage to Robert Kelly","Infliger 1 dégât à Robert Kelly"
"Deal 1 Damage to all","Infliger 1 dégât à tous"
"Deal 1 Damage","Infliger 1 dégât"
"Deal 2 Damage","Infliger 2 dégâts"
"Deal 3 Damage","Infliger 3 dégâts"
"Deal Damage","Infliger des dégâts"
"Deal Encounter","Attribuer une carte de Rencontre"
"Deal Encounters","Attribuer des cartes de Rencontre"
"Deal as encounter","Attribuer comme carte de Rencontre"
"Deal encounter","Attribuer une carte de Rencontre"
"Death Perception","Perception de la Mort"
"Density Manipulation","Manipulation de la Densité"
"Discard & Threat","Défausse et menace"
"Discard 1 Card","Défausser 1 carte"
"Discard 1","Défausser 1"
"Discard 1, Draw 1","Défausser 1, Piocher 1"
"Discard 1, Draw 2","Défausser 1, Piocher 2"
"Discard 1, Take 4 Damage","Défausser 1, Subir 4 dégâts"
"Discard 2","Défausser 2"
"Discard 2, Take 3 Damage","Défausser 2, Subir 3 dégâts"
"Discard 3, Take 2 Damage","Défausser 3, Subir 2 dégâts"
"Discard 4, Take 1 Damage","Défausser 4, Subir 1 dégât"
"Discard 5, Take 0 Damage","Défausser 5, Subir 0 dégât"
"Discard Ally","Défausser un Allié"
"Discard Bow","Défausser l'Arc"
"Discard Cards","Défausser les cartes"
"Discard Half","Défausser la moitié des cartes de votre main"
"Discard Highest Cost Card","Défausser la carte la plus chère"
"Discard Highest Cost Cards","Défausser les cartes les plus chères"
"Discard Invocation","Défausser l'Invocation"
"Discard Mjolnir and get stunned","Défausser Mjolnir et Sonné"
"Discard Resources","Défausser des ressources"
"Discard Tough","Défausser Tenace"
"Discard a card you control","Défausser une carte sous votre contrôle"
"Discard all Attack/Defense","Défausser toutes les Attaques/Défenses"
"Discard an upgrade","Défausser une Amélioration"
"Discard and Reveal","Défausser et Révéler"
"Discard another boost","Défausser une autre carte de Boost"
"Discard upgrade","Défausser une Amélioration"
"Discard","Défausser"
"Do _nothing","Ne rien faire"
"Draw 1","Piocher 1"
"Each Marauder Minion Activates","Chaque Sbire Maraudeur s'active"
"Enraged Symbiote","Symbiote Enragé"
"Exhaust Character","Incliner un Personnage"
"Exhaust Identity","Incliner votre identité"
"Exhaust and Pay","Incliner et Payer"
"Exhaust upgrades","Incliner toutes les Améliorations"
"Exhaust your Hero","Incliner votre Héros"
"Exhaust your Identity","Incliner votre identité"
"Exhaust","Incliner"
"Fetch Ally","Jouer un Allié"
"Fetch Marauder","Chercher un Maraudeur"
"Fetch Side Scheme","Chercher une manigance annexe"
"Fetch Support","Jouer un Soutien"
"Fetch Weapon","Chercher une Arme"
"Flip then Accelerate","Retourner et placer 1 Accélération"
"Flip then Add Threat","Retourner et Ajouter de la menace"
"Flip then Add threat","Retourner et ajouter de la menace"
"Flip then Damage","Retourner et infliger des dégâts"
"Flip then Discard & Threat","Retourner, Défausser et menace"
"Flip then Discard 1","Retourner et défausser 1"
"Flip then Discard 2","Retourner et défausser 2"
"Flip then Discard Bow","Retourner et Défausser l'Arc"
"Flip then Discard Half","Retourner et défausser la moitié des cartes de votre main"
"Flip then Discard Resources","Retourner et défausser des ressources"
"Flip then Discard Tough","Retourner et défausser Tenace"
"Flip then Discard all Attack/Defense","Retourner et défausser toutes les Atq/Déf"
"Flip then Discard","Retourner et défausser"
"Flip then Enraged Symbiote","Retourner et mettre Symbiote Enragé"
"Flip then Exhaust upgrades","Retourner et Incliner toutes les Améliorations"
"Flip then Increase Cost","Retourner et augmenter le coût"
"Flip then Stun & Confuse","Retourner, Sonner et Désorienter"
"Flip then Stun","Retourner et devenir Sonné"
"Flip then Take 2 Damage","Retourner et Subir 2 dégâts"
"Flip then exhaust","Retourner et incliner"
"Flip then get stunned","Retourner et devenir Sonné"
"Flip then lose Ammo","Retourner et perdre toutes les Munitions"
"Flip then lose Technique","Retourner et défausser 2 cartes Technique"
"Flip then remove from the game","Retourner et retirer de la partie"
"Flip, then Discard Mjolnir and get stunned","Retourner, défausser Mjolnir et Sonné"
"Gain Traits","Gagner les Traits"
"Get 2 Tough Status Cards","Obtenir 2 cartes Tenace"
"Get Stunned","Devenir Sonné"
"Grab Ticket","Mélanger le ticket dans le deck"
"Heal 2","Soigner 2"
"Heal 3","Soigner 3"
"Heal Fantomex","Soigner Fantomex"
"Heal Identity","Soigner une identité"
"Heal","Soigner"
"Hydra Attack","Hydra Attaque"
"I can do this all day","Je peux faire ça toute la journée"
"Increase Cost","Augmenter le coût"
"Indirect Damage","dégât indirect"
"Ironheart Card + Ready","Carte Ironheart + Redresser"
"Ironheart Card + Tough","Carte Ironheart + Tenace"
"Ironheart Card","Carte Ironheart"
"Level Up!","Montée de Niveau !"
"Lose Ammo","Perdre toutes les Munitions"
"Lose Technique","Défausser 2 cartes Technique"
"Maximum Efficiency","Efficacité Maximum"
"Mind Control","Contrôle mental"
"Minion","Sbire"
"Momentum","1 jeton Inertie"
"Move Ammo to War Machine","Déplacer les Munitions vers War Machine"
"Natural Talent","Talent Naturel"
"Next Disaster","Prochain Désastre"
"Not this Day","L'Heure n'est pas Venue"
"Operation Zero Tolerance","Opération Tolérance Zéro"
"Optic Blast","Rayon Optique"
"Patrol","Patrouille"
"Pay Resource","Payer la ressource"
"Pay Resources","Payer des ressources"
"Pay resource","Dépenser une ressource"
"Pay resources","Payer les ressources"
"Phase Control","Contrôle des Phases"
"Phew!","Ouf !"
"Please choose option for {title}","Choisir une option pour {title}"
"Power counter","Placer 1 Jeton Pouvoir"
"Progress","+1 Progression"
"Put Marauder in play","Mettre un Maraudeur en jeu"
"Put Minion in Play","Mettre le Sbire en jeu"
"Put upgrade into play","Mettre une Amélioration en jeu"
"Quick Draw","Décochage Rapide"
"Ready + Tough","Redresser + Tenace"
"Ready George Stacy","Redresser George Stacy"
"Ready Phoenix","Redresser Phénix"
"Ready an X-MEN Character","Redresser un Personnage X-MEN"
"Ready your Hero","Redresser votre Héros"
"Ready","Redresser"
"Receive Threat","Recevoir 1 menace"
"Remove 1 Threat","Retirer 1 menace"
"Remove 2 Threat","Retirer 2 menaces"
"Remove 3 Threat","Retirer 3 menaces"
"Remove 3","Retirer 3"
"Remove 3x2","Retirer 3x2"
"Remove Confused","Retirer Désorienté"
"Remove Confused","Retirer Désorienté"
"Remove From 1","Retirer d'une manigance"
"Remove From All","Retirer de toutes les manigances"
"Remove Stun","Retirer Sonné"
"Remove Stunned","Retirer Sonné"
"Remove Stunned","Retirer Sonné"
"Remove Stunned/Confused","Retirer Sonné/Désorienté"
"Remove Tough","Retirer Tenace"
"Remove from the game","Retirer de la partie"
"Return Cyclops Card to Hand","Renvoyer une carte de Cyclope dans votre main"
"Return Highest Cost support","Renvoyer le Support le plus cher"
"Return to hand","Renvoyer dans la main"
"Reveal Minion","Révéler un Sbire"
"Reveal Spell","Révéler un Sort"
"Search for a Valkyrie Card","Chercher une carte Valkyrie"
"Shift 1 (ATK)","1 Jeton Changement (ATQ)"
"Shift 2 (THW)","2 Jetons Changement (CTR)"
"Shift 3 (Hit points)","3 Jetons Changement (Points de Vie)"
"Shuffle 2 Upgrades","Mélanger 2 Améliorations"
"Shuffle Card","Mélanger la carte"
"Shuffle Psionic Card","Mélanger une carte Psionique"
"Shuffle back","Remélanger"
"Skip","Passer"
"Smooth Talker","Beau Parleur"
"Spell Mastery","Maîtrise des sorts"
"Spend 1 Resource","Dépenser 1 ressource"
"Spend Mental Resource","Dépenser une ressource Mentale"
"Spend Resource","Dépenser une ressource"
"Spend Resources","Dépenser les ressources"
"Stun & Confuse","Sonner & Désorienter"
"Stun a Minion","Sonner un Sbire"
"Stun a character","Sonner un Personnage"
"Stun a character","Sonner un Personnage"
"Stun highest ATK Character","Sonner le Personnage avec la plus grande ATQ"
"Stun","Devenir Sonné"
"Stunned --> Confused","Sonné --> Désorienté"
"Stunned --> Tough","Sonné --> Tenace"
"Stunned","Sonné"
"Superpowered Siblings","Fratrie Surpuissante"
"Swap Card","Échanger des cartes"
"TITLE_CHOOSE_4_HEROES","1) CHOISISSEZ VOS HÉROS"
"TITLE_CHOOSE_DECKS","2) CHOISIR LES DECKS"
"TITLE_CHOOSE_VILLAIN","3) CHOISIR LE SCENARIO"
"Take 1 damage","Subir 1 dégât"
"Take 2 Damage","Subir 2 dégâts"
"Take 2 damage","Subir 2 dégâts"
"Take 3 Damage","Subir 3 dégâts"
"Take 5 Damage","Subir 5 dégâts"
"Take Damage","Subir des dégâts"
"Teen Spirit","Esprit Adolescent"
"Thief Extraordinaire","Voleur Hors Pair"
"Threat","Menace"
"To Alter-Ego","En Alter-Ego"
"To Hero","En Héros"
"Tough --> Confused","Tenace --> Désorienté"
"Tough --> Stunned","Tenace --> Sonné"
"Tough","Tenace"
"Uncensor","Réécrire le Passé"
"Unleash energy","Libérer l'énergie"
"Use ATK","Utiliser ATQ"
"Use THW","Utiliser CTR"
"Villain Attack","Le Méchant attaque"
"Villain and Minions Attack","Le Méchant et les Sbires attaquent"
"War Machine Card","Carte War Machine"
"Weapon of Choice","Arme de Choix"
"Wildside attacks","Wildside attaque"
"Worthy","Digne"
"X Damage","X dégâts"
"add 1 energy","Ajouter 1 énergie"
"add 2 energy","Ajouter 2 énergies"
"add 3 energy","Ajouter 3 énergies"
"attack","attaquer"
"deal 4 damage","Infliger 4 dégâts"
"discard a Minion","Défausser un Sbire"
"draw 2","Piocher 2"
"draw 3","Piocher 3 cartes"
"exhaust all characters","Incliner tous les Personnages"
"pay resources","Dépenser les ressources"
"recover","récupérer"
"remove 2 threat","Retirer 2 menaces"
"remove 3 threat","Retirer 3 menaces"
"thwart","contrer"
"{name}: Mulligan. Choose cards to discard","{name}: Mulligan. Choisissez des cartes à défausser"
BTN_CREDITS,"Crédits"
BTN_DECK_EDITOR,"Editeur de deck"
BTN_EXIT,"Quitter"
BTN_FULL_SCREEN,"plein écran"
BTN_MULTIPLAYER,"Wultijoueur"
BTN_OPTIONS,"Optiovs"
BTN_SINGLE_PLAYER,"Uv Joueur"
